Sl.No.,Organization Name,Division,District,Upazila,"No. ofBed"
1,Sher-e-bangla Medical College Hospital,Barisal,Barishal,"Barisal Sadar(kotwali)",1500
2,Chittagong Medical College Hospital,Chittagong,Chattogram,Panchlaish,1500
3,Sir Salimullah Medical College Hospital,Dhaka,Dhaka,Kotwali,1500
4,Mymensingh Medical College Hospital,Mymensingh,Mymensingh,Mymensingh Sadar,1500
5,Rajshahi Medical College Hospital,Rajshahi,Rajshahi,Rajpara,1500
6,Rangpur Medical College Hospital,Rangpur,Rangpur,Rangpur Sadar,1500
7,Sylhet MAG Osmani Medical College Hospital,Sylhet,Sylhet,Sylhet Sadar,1500
